name,Wasmati,Wassail
2mm,201,2090
3mm,230,2090
adi,184,1480
atax,202,2070
bicg,225,2050
cholesky,187,1520
correlation,219,2070
covariance,200,2070
deriche,185,1520
doitgen,209,1970
durbin,184,1510
fdtd-2d,207,1990
floyd-warshall,181,1380
gemm,200,2070
gemver,228,2050
gesummv,202,2000
gramschmidt,226,2100
heat-3d,184,1470
jacobi-1d,180,1440
jacobi-2d,199,1460
lu,208,1530
ludcmp,211,2180
mvt,203,2040
nussinov,234,2110
seidel-2d,181,1420
symm,220,2040
syr2k,203,2020
syrk,219,2020
trisolv,200,2100
trmm,204,2003
