benchmark,tool,1,2,3,4,5,6,7,8,9,10,total,import,unzip
500.perlbench_r,Nativo,2731,2730,2711,2723,2707,2669,81,10277,2716,2226,37251,14978,0
502.gcc_r,Nativo,9948,10042,9926,9868,9841,9701,103,33982,10102,10665,128964,52999,0
505.mcf_r,Nativo,92,96,101,95,91,105,15,330,89,111,1249,517,0
508.namd_r,Nativo,1071,1086,1079,1078,1072,1056,15,3463,1080,1247,14310,4999,0
510.parest_r,Nativo,3346,3359,3440,3427,3363,3338,83,12258,3366,3791,45309,18478,0
511.povray_r,Nativo,1293,1293,1289,1291,1302,1274,32,4699,1282,1239,17249,7563,0
519.lbm_r,Nativo,46,46,46,46,46,46,10,166,46,77,611,310,0
520.omnetpp_r,Nativo,2463,2446,2442,2438,2573,2467,110,8603,2433,2296,31763,18415,0
523.xalancbmk_r,Nativo,6474,6449,6444,6822,7147,6485,139,21435,6455,6421,83160,54699,0
525.ldecod_r,Nativo,677,673,675,677,679,669,14,2570,718,815,9139,3552,0
525.x264_r,Nativo,896,893,895,902,909,882,16,3189,896,798,11657,4951,0
526.blender_r,Nativo,18575,18234,18811,18781,20937,18777,396,64625,18520,17946,244850,173486,0
531.deepsjeng_r,Nativo,176,188,186,182,185,171,9,652,174,285,2392,967,0
538.imagick_r,Nativo,1776,1767,1783,1774,1794,1767,24,6743,1748,1981,24926,9047,0
541.leela_r,Nativo,386,387,384,387,380,373,26,1373,379,527,4975,2157,0
544.nab_r,Nativo,176,177,176,180,174,171,4,624,173,324,2350,1009,0
557.xz_r,Nativo,177,177,177,177,176,171,6,585,175,288,2281,1005,0
500.perlbench_r,Wasmati,5717,6134,5526,5222,4407,6041,92,27184,6184,5663,72170,14978,0
502.gcc_r,Wasmati,17928,22925,17325,16593,21108,17699,396,89024,19699,27351,250048,52999,0
505.mcf_r,Wasmati,146,172,166,159,170,224,19,880,147,330,2413,517,0
508.namd_r,Wasmati,1957,1788,2206,2317,2158,1743,24,7361,1837,3249,24640,4999,0
510.parest_r,Wasmati,6485,6761,7065,7293,6311,6949,151,37232,7542,10735,96524,18478,0
511.povray_r,Wasmati,2167,2293,2405,2798,2389,2770,64,9693,2269,3778,30626,7563,0
519.lbm_r,Wasmati,82,78,91,77,74,104,17,498,74,234,1329,310,0
520.omnetpp_r,Wasmati,4598,3888,3711,5158,5816,4006,185,20778,4063,7263,59466,18415,0
523.xalancbmk_r,Wasmati,11609,12903,10780,13138,15412,13151,330,65284,11984,16581,171172,54699,0
525.ldecod_r,Wasmati,1262,1102,1394,1345,1376,1431,32,6340,1324,1982,17588,3552,0
525.x264_r,Wasmati,1643,1928,1656,1910,1455,1589,36,8648,1714,2287,22866,4951,0
526.blender_r,Wasmati,32807,40997,36171,32176,35701,41285,1082,194121,32111,41529,487980,173486,0
531.deepsjeng_r,Wasmati,303,389,392,328,282,374,21,1889,339,877,5194,967,0
538.imagick_r,Wasmati,2809,3001,2963,3880,3981,2675,51,14720,3338,4696,42114,9047,0
541.leela_r,Wasmati,627,712,862,592,798,728,56,3752,816,1626,10569,2157,0
544.nab_r,Wasmati,278,354,380,413,344,290,20,1788,311,977,5155,1009,0
557.xz_r,Wasmati,327,298,286,389,340,314,24,1567,396,725,4666,1005,0
500.perlbench_r,Datalog,78216,84986,87124,77278,73676,85953,1755,TIMEOUT,89180,102592,680760,16519,690
502.gcc_r,Datalog,298235,272666,318135,342076,253921,333786,1791,TIMEOUT,307536,532479,2660625,60774,2580
505.mcf_r,Datalog,2301,3147,2667,3011,2347,2816,1635,20385,2742,5099,46150,1075,20
508.namd_r,Datalog,31744,37648,28146,31620,32027,35959,1766,219713,29018,58652,506293,5636,200
510.parest_r,Datalog,111682,104485,95375,100521,103472,91654,1828,TIMEOUT,87057,187660,883734,22353,840
511.povray_r,Datalog,40926,38110,36555,41267,39969,39996,1426,309141,36859,59898,644147,9749,370
519.lbm_r,Datalog,1600,1458,1600,1593,1479,1610,1897,11420,1404,3613,27674,1145,20
520.omnetpp_r,Datalog,63039,75551,78265,79614,77799,83007,1631,598613,78607,108799,1244925,22356,890
523.xalancbmk_r,Datalog,196784,221593,202045,197316,203373,168462,1555,TIMEOUT,202700,317205,1711033,69003,2710
