name,size,nodes,edges,memory,parsing,ast,cfg,pdg,pg,total,ast,cfg,pdg,cg,Nodes + Edges,time (s),ast (%),cfg (%),pdg (%),cg (%),query time
abo1.wasm,2,592,1346,0.11,30,0,1,5,0,36,571,444,300,31,1938,0.036,42.42%,32.99%,22.29%,2.30%,14
abo2.wasm,2,590,1339,0.11,29,0,1,5,0,35,569,442,296,32,1929,0.035,42.49%,33.01%,22.11%,2.39%,20
abo3.wasm,2,590,1339,0.11,30,0,1,6,0,37,569,442,296,32,1929,0.037,42.49%,33.01%,22.11%,2.39%,23
abo4.wasm,9,3958,12824,0.84,40,6,18,64,0,128,3796,3915,5069,44,16782,0.128,29.60%,30.53%,39.53%,0.34%,37
abo5.wasm,9,3943,12782,0.84,39,6,17,68,0,130,3782,3898,5058,44,16725,0.13,29.59%,30.50%,39.57%,0.34%,24
abo6.wasm,12,5831,18193,1.22,46,9,25,91,0,171,5590,5727,6804,72,24024,0.171,30.73%,31.48%,37.40%,0.40%,50
abo7.wasm,5,1672,4284,0.32,33,2,5,23,0,63,1607,1424,1194,60,5956,0.063,37.51%,33.24%,27.87%,1.40%,39
abo8.wasm,3,757,1763,0.14,36,1,2,7,0,46,730,587,411,35,2520,0.046,41.41%,33.30%,23.31%,1.99%,22
bo1.wasm,2,539,1172,0.10,29,0,1,3,0,33,520,374,245,33,1711,0.033,44.37%,31.91%,20.90%,2.82%,13
bo2.wasm,2,528,1143,0.10,30,0,1,3,0,34,509,365,236,33,1671,0.034,44.53%,31.93%,20.65%,2.89%,15
bo3.wasm,8,3775,12300,0.81,40,6,17,60,0,123,3622,3723,4933,44,16075,0.123,29.45%,30.27%,40.11%,0.36%,30
df1.wasm,11,4972,15972,1.06,41,8,22,79,0,150,4773,4970,6185,44,20944,0.15,29.88%,31.12%,38.72%,0.28%,57
e1.wasm,9,3715,9363,0.71,38,5,15,62,0,120,3559,3468,2241,95,13078,0.12,38.01%,37.04%,23.93%,1.01%,132
e2.wasm,2,592,1346,0.11,29,0,1,5,0,35,571,444,300,31,1938,0.035,42.42%,32.99%,22.29%,2.30%,12
e3.wasm,16,7892,24391,1.65,50,13,35,124,0,222,7564,7834,8905,88,32283,0.222,31.01%,32.12%,36.51%,0.36%,131
e4.wasm,9,3844,9703,0.74,40,6,15,60,0,121,3685,3587,2334,97,13547,0.121,37.98%,36.97%,24.05%,1.00%,134
e5.wasm,7,1968,4956,0.38,34,3,7,23,0,67,1894,1648,1332,82,6924,0.067,38.22%,33.25%,26.88%,1.65%,90
foo.wasm,2,473,1014,0.09,30,0,1,3,0,34,454,326,203,31,1487,0.034,44.77%,32.15%,20.02%,3.06%,9
fs1.wasm,16,7112,20924,1.45,54,12,31,116,0,213,6819,6963,7054,108,28036,0.213,32.59%,33.28%,33.71%,0.52%,150
fs2.wasm,13,5720,14275,1.09,45,9,23,72,0,149,5487,5496,3162,131,19995,0.149,38.44%,38.50%,22.15%,0.92%,217
fs3.wasm,13,5706,14233,1.09,47,10,24,71,0,152,5473,5482,3148,130,19939,0.152,38.45%,38.52%,22.12%,0.91%,243
fs4.wasm,14,5996,14993,1.14,44,10,26,79,0,159,5758,5710,3379,145,20989,0.159,38.40%,38.08%,22.54%,0.97%,242
fs5.wasm,13,5701,14216,1.09,46,9,24,73,0,152,5468,5477,3142,130,19917,0.152,38.46%,38.53%,22.10%,0.91%,218
fs6.wasm,9,3714,9361,0.71,40,6,14,61,0,121,3558,3467,2241,95,13075,0.121,38.01%,37.04%,23.94%,1.01%,126
io.wasm,2,502,1081,0.09,29,0,1,3,0,33,483,346,220,32,1583,0.033,44.68%,32.01%,20.35%,2.96%,12
sg1.wasm,2,604,1365,0.11,31,0,1,5,0,37,583,449,299,34,1969,0.037,42.71%,32.89%,21.90%,2.49%,13
sg2.wasm,2,600,1359,0.11,46,0,1,5,0,52,579,447,301,32,1959,0.052,42.60%,32.89%,22.15%,2.35%,14
sg3.wasm,10,3951,9960,0.76,40,6,15,62,0,123,3788,3674,2397,101,13911,0.123,38.03%,36.89%,24.07%,1.01%,268
sg4.wasm,3,665,1512,0.12,32,1,1,6,0,40,641,500,338,33,2177,0.04,42.39%,33.07%,22.35%,2.18%,57
sg5.wasm,16,7246,21260,1.48,48,12,31,124,0,215,6946,7073,7129,112,28506,0.215,32.67%,33.27%,33.53%,0.53%,254
stack1.wasm,11,4531,11453,0.87,42,7,19,69,0,137,4342,4198,2790,130,15984,0.137,37.91%,36.65%,24.36%,1.14%,188
stack2.wasm,11,4531,11453,0.87,41,7,19,70,0,137,4342,4198,2790,130,15984,0.137,37.91%,36.65%,24.36%,1.14%,165
stack3.wasm,11,4531,11453,0.87,40,7,18,74,0,139,4342,4198,2790,130,15984,0.139,37.91%,36.65%,24.36%,1.14%,226
stack4.wasm,11,4531,11453,0.87,43,7,18,72,0,140,4342,4198,2790,130,15984,0.14,37.91%,36.65%,24.36%,1.14%,135
stack5.wasm,11,4531,11453,0.87,42,8,18,71,0,139,4342,4198,2790,130,15984,0.139,37.91%,36.65%,24.36%,1.14%,134
uaf1.wasm,10,4626,14912,0.98,42,7,21,73,0,143,4431,4628,5810,42,19538,0.143,29.71%,31.04%,38.96%,0.28%,25
uaf2.wasm,11,4977,15982,1.06,41,8,22,78,0,149,4778,4973,6188,44,20959,0.149,29.90%,31.12%,38.72%,0.28%,32
afw.wasm,38,16565,47900,3.36,68,28,78,276,0,450,15758,16698,15186,258,64465,0.45,32.90%,34.86%,31.70%,0.54%,493
global-write.wasm,7,2765,7060,0.53,61,4,6,28,0,99,2581,2553,1852,74,9825,0.099,36.56%,36.16%,26.23%,1.05%,400
node-rce.wasm,14,6421,16429,1.24,44,10,21,92,0,167,6053,6013,4170,188,22850,0.167,36.84%,36.60%,25.38%,1.14%,756
pnm2png.wasm,126,57546,158849,11.43,151,119,272,936,0,1478,54392,56965,45743,1733,216395,1.478,34.24%,35.86%,28.80%,1.09%,2792
same-frame.wasm,12,4927,12475,0.94,46,8,15,66,0,135,4622,4732,3018,104,17402,0.135,37.05%,37.93%,24.19%,0.83%,528
stack-bo.wasm,13,5272,13306,1.01,43,8,17,71,0,139,4948,5034,3205,119,18578,0.139,37.19%,37.83%,24.09%,0.89%,601
unsafe-unlink.wasm,34,7751,19185,1.47,49,13,30,83,0,175,7466,7042,4397,280,26936,0.175,38.92%,36.71%,22.92%,1.46%,846
